mosquito	frame	dom_behav	mean_vel	groomBB	walk_BB	probeBB	fly2	nobehav	walk_only	probe_walk	probe_only	groomvel	walkvel	probevel	flyvel	none>fly	none>probe	none>walk	none>groom	groom>fly	groom>probe	groom>walk	groom>none	walk>fly	walk>probe	walk>groom	walk>none	probe>fly	probe>walk	probe>groom	probe>none	fly>probe	fly>walk	fly>groom	fly>none	none_bouts	groom_bouts	walk_bouts	probe_bouts	fly_bouts	tSNE1_30s_1061per	tSNE2_30s_1061per
0	9750	1	0.8255161724130305	0.32666666666666666	0.06666666666666667	0.0	0.0	0.6344444444444445	0.06666666666666667	0.0	0.0	0.7596110359797049	1.1266318336249421	0.0	0.0	0.0	0.0	0.13333333333333333	0.8666666666666667	0.0	0.0	0.06666666666666667	0.9333333333333333	0.0	0.0	0.5	0.5	0	0	0	0	0	0	0	0	15	15	4	0	0	16.276468	-6.04758
0	10050	1	0.6825985723724383	0.4577777777777778	0.04888888888888889	0.0	0.0	0.5177777777777778	0.04888888888888889	0.0	0.0	0.6690864498412415	0.7645323642774977	0.0	0.0	0.0	0.0	0.10526315789473684	0.8947368421052632	0.0	0.0	0.05555555555555555	0.9444444444444444	0.0	0.0	0.6666666666666666	0.3333333333333333	0	0	0	0	0	0	0	0	19	18	3	0	0	19.722845	-3.319967
0	10350	1	0.6771585093996187	0.45111111111111113	0.024444444444444446	0.0	0.0	0.5244444444444445	0.024444444444444446	0.0	0.0	0.658673198454988	0.9931129588739152	0.0	0.0	0.0	0.0	0.125	0.875	0.0	0.0	0.0	1.0	0.0	0.0	0.5	0.5	0	0	0	0	0	0	0	0	16	15	2	0	0	18.464937	-5.6895323
0	10650	1	0.6056155820985647	0.54	0.022222222222222223	0.0	0.0	0.43777777777777777	0.022222222222222223	0.0	0.0	0.6350629740651638	0.5511151909212949	0.0	0.0	0.0	0.0	0.10526315789473684	0.8947368421052632	0.0	0.0	0.0	1.0	0.0	0.0	0.5	0.5	0	0	0	0	0	0	0	0	19	17	2	0	0	20.212448	-3.3921568
0	10950	1	0.5541764722068493	0.5533333333333333	0.05333333333333334	0.0	0.0	0.41333333333333333	0.05333333333333334	0.0	0.0	0.5693444027973762	0.5082174182257875	0.0	0.0	0.0	0.0	0.0625	0.9375	0.0	0.0	0.11764705882352941	0.8823529411764706	0.0	0.0	0.3333333333333333	0.6666666666666666	0	0	0	0	0	0	0	0	16	17	3	0	0	18.38397	-4.6646833
0	11250	1	0.49015877480799114	0.5066666666666667	0.05333333333333334	0.0	0.0	0.46	0.05333333333333334	0.0	0.0	0.5179894322599081	0.5082174182257875	0.0	0.0	0.0	0.0	0.07142857142857142	0.9285714285714286	0.0	0.0	0.14285714285714285	0.8571428571428571	0.0	0.0	0.3333333333333333	0.6666666666666666	0	0	0	0	0	0	0	0	14	14	3	0	0	15.961566	-7.3061924
0	11550	1	0.5667930429980957	0.37333333333333335	0.07111111111111111	0.03	0.0	0.5455555555555556	0.07111111111111111	0.0	0.03	0.47895584467676394	0.8950007772050809	0.6604503301103533	0.0	0.0	0.2727272727272727	0.18181818181818182	0.5454545454545454	0.0	0.0	0.25	0.75	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	1.0	0	0	0	0	11	8	3	3	0	7.656349	-5.674792
0	18150	1	0.9079244839943951	0.31333333333333335	0.03888888888888889	0.0	0.0	0.6566666666666666	0.03888888888888889	0.0	0.0	1.04295309039435	0.8213887265831212	0.0	0.0	0.0	0.0	0.15384615384615385	0.8461538461538461	0.0	0.0	0.16666666666666666	0.8333333333333334	0.0	0.0	0.25	0.75	0	0	0	0	0	0	0	0	13	12	4	0	0	13.680478	-8.415212
0	18450	1	0.9788453757929736	0.3788888888888889	0.05	0.0	0.0	0.5866666666666667	0.05	0.0	0.0	1.0799989070391178	1.0002946855353376	0.0	0.0	0.0	0.0	0.2	0.8	0.0	0.0	0.14285714285714285	0.8571428571428571	0.0	0.0	0.4	0.6	0	0	0	0	0	0	0	0	15	14	5	0	0	14.929445	-6.5019617
0	18750	1	0.8834365557898319	0.42777777777777776	0.03666666666666667	0.0	0.0	0.5488888888888889	0.03666666666666667	0.0	0.0	1.0382391316821205	1.1796872396522022	0.0	0.0	0.0	0.0	0.2727272727272727	0.7272727272727273	0.0	0.0	0.1	0.9	0.0	0.0	0.5	0.5	0	0	0	0	0	0	0	0	11	10	4	0	0	10.058984	-10.980803
